Stop,Description,Latitude,Longitude,Street
0031,Himalayan Cedar Lookout,-35.2864723,149.075272,HIMALAYAN CEDAR RD
0032,Arboretum Car Park,-35.2875099,149.068329,ARBORETUM CAR PARK
0033,Arboretum Stop 3,-35.2918892,149.063995,FOREST DR
0200,Longstay Caravan Park in Grounds SSO,-35.347229,149.152832,NARRABUNDAH LONGSTAY PARK DRIVEWAY
0201,Fremantle Drive after McKail Crescent,-35.3470421,149.047943,FREMANTLE DR
0300,Donaldson Street after Ainslie Primary School,-35.2736206,149.140823,DONALDSON ST
0401,MacFarlane Burnet Avenue before DeGruchy Place,-35.2160187,149.002853,MACFARLANE BURNET AV
0402,MacFarlane Burnet Avenue after Eccles Circuit,-35.2128372,149.004196,MACFARLANE BURNET AV
0403,MacFarlane Burnet Avenue before Eccles Circuit,-35.2126656,149.004013,MACFARLANE BURNET AV
0404,MacFarlane Burnet Avenue after Hallows Circuit,-35.2160721,149.003357,MACFARLANE BURNET AV
0405,MacFarlane Burnet Avenue after Constance Stone Street,-35.209343,149.00322,MACFARLANE BURNET AV
0406,MacFarlane Burnet Avenue before Constance Stone Street,-35.2092934,149.002975,MACFARLANE BURNET AV
0600,O'Hanlon Place after Gold Creek Rd,-35.1921234,149.085968,OHANLON PL
0601,O'Hanlon Place before Gold Creek Rd,-35.1921425,149.086075,OHANLON PL
100,O'Halloran Circuit Urambi PS SSO,-35.3946648,149.064697,OHALLORAN CCT
1001,Drumston Street opp MacKillop CLG,-35.4261131,149.091614,DRUMSTON ST
1002,Drumston Street MacKillop after Isabella Drive,-35.425972,149.091705,DRUMSTON ST
1003,Hambidge Crescent after Truganini Place,-35.4189682,149.120026,HAMBIDGE CR
1005,Noorooma Street opp Isabella Plains PS SSO,-35.4289474,149.088165,NOOROOMA ST
1007,Ellerston Avenue opp Isabella Plains Shops,-35.4278603,149.091034,ELLERSTON AV
1008,Ellerston Avenue Isabella Plains Shops,-35.4274788,149.091415,ELLERSTON AV
1009,Ellerston Avenue after Drumston Street,-35.4256554,149.09549,ELLERSTON AV
