Stop,Description,Latitude,Longitude,Street
0031,Himalayan Cedar Lookout,-35.2864723,149.075272,HIMALAYAN CEDAR RD
0032,Arboretum Car Park,-35.2875099,149.068329,ARBORETUM CAR PARK
0033,Arboretum Stop 3,-35.2918892,149.063995,FOREST DR
0200,Longstay Caravan Park in Grounds SSO,-35.347229,149.152832,NARRABUNDAH LONGSTAY PARK DRIVEWAY
0201,Fremantle Dr after McKail Cr,-35.3470421,149.047943,FREMANTLE DR
0300,Donaldson St after Ainslie Primary School,-35.2736206,149.140823,DONALDSON ST
0401,MacFarlane Burnet Av before DeGruchy Pl,-35.2160187,149.002853,MACFARLANE BURNET AV
0402,MacFarlane Burnet Av after Eccles Cct,-35.2128372,149.004196,MACFARLANE BURNET AV
0403,MacFarlane Burnet Av before Eccles Cct,-35.2126656,149.004013,MACFARLANE BURNET AV
0404,MacFarlane Burnet Av after Hallows Cct,-35.2160721,149.003357,MACFARLANE BURNET AV
0405,MacFarlane Burnet Av after Constance Stone St,-35.209343,149.00322,MACFARLANE BURNET AV
0406,MacFarlane Burnet Av before Constance Stone St,-35.2092934,149.002975,MACFARLANE BURNET AV
0600,O'Hanlon Pl after Gold Creek Rd,-35.1921234,149.085968,OHANLON PL
0601,O'Hanlon Pl before Gold Creek Rd,-35.1921425,149.086075,OHANLON PL
1,Tuggeranong Bus Station  Platform 9,-35.4150925,149.065643,PITMAN ST
100,O'Halloran Cct Urambi PS SSO,-35.3946648,149.064697,OHALLORAN CCT
1001,Drumston St opp MacKillop CLG,-35.4261131,149.091614,DRUMSTON ST
1002,Drumston St MacKillop after Isabella Dr,-35.425972,149.091705,DRUMSTON ST
1003,Hambidge Cr after Truganini Pl,-35.4189682,149.120026,HAMBIDGE CR
1005,Noorooma St opp Isabella Plains PS SSO,-35.4289474,149.088165,NOOROOMA ST
1007,Ellerston Av opp Isabella Plains Shops,-35.4278603,149.091034,ELLERSTON AV
1008,Ellerston Av Isabella Plains Shops,-35.4274788,149.091415,ELLERSTON AV
1009,Ellerston Av after Drumston St,-35.4256554,149.09549,ELLERSTON AV
